 (New), (Baru)
Set as default SLA,Tetapkan sebagai SLA default
Set location…,Tetapkan lokasi…
Set the Exotel number to be used for outgoing calls.,Atur nomor Exotel yang akan digunakan untuk panggilan keluar.
Set the Twilio number to be used for outgoing calls.,Atur nomor Twilio yang akan digunakan untuk panggilan keluar.
Set the name of your brand. Appears in the left sidebar.,Tetapkan nama merek Anda. Muncul di sidebar kiri.
"Set working days, hours, and holidays by selecting a predefined schedule or creating a new one","Tetapkan hari kerja, jam kerja, dan hari libur dengan memilih jadwal yang telah ditentukan atau membuat jadwal baru"
Setting Up,Menyiapkan
Setting disabled successfully,Pengaturan berhasil dinonaktifkan
Setting enabled successfully,Pengaturan berhasil diaktifkan
Setting up Frappe Mail requires you to have an API key and API Secret of your email account. Read more,"Untuk mengatur GARP Mail, Anda harus memiliki API key dan API Secret dari akun email Anda. Baca selengkapnya"
Setting up GMail requires you to enable two factor authentication and app specific passwords. Read more,Menyiapkan GMail mengharuskan Anda mengaktifkan autentikasi dua faktor dan kata sandi khusus aplikasi. Baca selengkapnya
Setting up Outlook requires you to enable two factor authentication and app specific passwords. Read more,Menyiapkan Outlook mengharuskan Anda mengaktifkan autentikasi dua faktor dan kata sandi khusus aplikasi. Baca selengkapnya
Setting up Sendgrid requires you to enable two factor authentication and app specific passwords. Read more,Menyiapkan Sendgrid mengharuskan Anda mengaktifkan otentikasi dua faktor dan kata sandi khusus aplikasi. Baca selengkapnya
Setting up Sparkpost requires you to enable two factor authentication and app specific passwords. Read more,Menyiapkan Sparkpost mengharuskan Anda mengaktifkan autentikasi dua faktor dan kata sandi khusus aplikasi. Baca selengkapnya
Setting up Yahoo requires you to enable two factor authentication and app specific passwords. Read more,Menyiapkan Yahoo mengharuskan Anda mengaktifkan otentikasi dua faktor dan kata sandi khusus aplikasi. Baca selengkapnya
Setting up Yandex requires you to enable two factor authentication and app specific passwords. Read more,Menyiapkan Yandex mengharuskan Anda mengaktifkan otentikasi dua faktor dan kata sandi khusus aplikasi. Baca selengkapnya
Settings,Pengaturan
Settings saved,Pengaturan disimpan
Settings updated successfully,Pengaturan berhasil diperbarui
Setup Email,Atur Email
Setup your password,Atur kata sandi Anda
Show,Tampilkan
Show Border,Tampilkan Perbatasan
Show Label,Tampilkan Label
Show Less,Tampilkan Lebih Sedikit
Show Password,Tampilkan Kata Sandi
Show Preview,Tampilkan Pratayang
Side Panel,Panel Samping
Sidebar Items,Item Bilah Sisi
Signature,Tanda Tangan
"Simple Python Expression, Example: doc.status == 'Open' and doc.lead_source == 'Ads'","Ekspresi Python Sederhana, Contoh: doc.status == 'Open' and doc.lead_source == 'Ads'"
"Since you removed {0} from the assignee, the {0} has also been removed.","Karena Anda menghapus {0} dari penerima tugas, {0} juga telah dihapus."
"Since you removed {0} from the assignee, the {0} has been changed to the next available assignee {1}.","Karena Anda menghapus {0} dari penanggung jawab, maka {0} telah dialihkan ke penanggung jawab berikutnya yang tersedia, yaitu {1}."
Site URL,URL situs
Site URL is required,URL situs diperlukan
Site connection validated,Koneksi situs divalidasi
Some error occurred while creating SLA Policy,Beberapa kesalahan terjadi saat membuat Kebijakan SLA
Some error occurred while renaming SLA policy,Beberapa kesalahan terjadi saat mengganti nama kebijakan SLA
Some error occurred while renaming assignment rule,Beberapa kesalahan terjadi saat mengganti nama aturan penetapan
Some error occurred while updating SLA policy,Beberapa kesalahan terjadi saat memperbarui kebijakan SLA
Some error occurred while updating assignment rule,Beberapa kesalahan terjadi saat memperbarui aturan penetapan
Something went wrong,Ada yang salah
"Something went wrong, try again later","Ada yang tidak beres, coba lagi nanti"
Sort,Urutkan
Source,Sumber
Source Name,Nama Sumber
Source Type,Jenis Sumber
Source disabled successfully,Sumber berhasil dinonaktifkan
Source enabled successfully,Sumber berhasil diaktifkan
Spacer,Pemberi Jarak
Stage,Tahap
"Standard Form Scripts can not be modified, duplicate the Form Script instead.","Skrip Formulir Standar tidak dapat diubah, silakan duplikasi untuk melakukan perubahan."
Standard Selling Rate,Harga Jual Standar
Standard Views,Tampilan Standar
Start & End Time Are Required,Waktu Mulai & Berakhir Diperlukan
Start Date,Tanggal Mulai
Start Date cannot be after end date,Tanggal Mulai tidak boleh setelah tanggal akhir
Start Time,Waktu Mulai
Start Time is required,Waktu Mulai diperlukan
Start with sample 10 leads,Mulai dengan 10 contoh prospek
Status,Status
Status Change Log,Log Perubahan Status
Status is required,Status wajib diisi
Subdomain,Subdomain
Subject,Subjek
Subject is required,Subjek wajib diisi
Subject: {0},Subjek {0}
Sunday,Minggu
Support / Sales,Dukungan / Penjualan
Switch Camera,Ganti kamera
"Switch between light, dark, or system theme","Beralih antara tema terang, gelap, atau sistem"
Switch between outgoing email accounts when sending emails,Beralih di antara akun email keluar saat mengirim email
Sync Now,Sinkronkan Sekarang
Sync Successful!,Sinkronisasi Berhasil!
"Sync your Contacts, Email and Calendars","Sinkronkan Kontak, Email, dan Kalender Anda"
Synced,Disinkronkan
Syncing,Sinkronisasi
Syncing started in background,Sinkronisasi dimulai di latar belakang
System,Sistem
System Configuration,Konfigurasi Sistem
System Defaults,Default Sistem
System Manager,System Manager
TO,KEPADA
Take a note...,Tulis catatan...
Task,Tugas
Task created,Tugas dibuat
Tasks,Tugas
Telephony,Telepon
Telephony Medium,Media Telepon
Telephony Settings,Pengaturan Telepon
Template Deleted Successfully,Templat Berhasil Dihapus
Template Name,Nama Templat
Template created successfully,Templat berhasil dibuat
Template disabled successfully,Templat berhasil dinonaktifkan
Template enabled successfully,Templat berhasil diaktifkan
Template renamed successfully,Templat berhasil diganti nama
Template updated successfully,Tempalt berhasil diperbarui
Templates,Templat
Territories,Wilayah
Territory,Wilayah
Territory Manager,Manajer Wilayah
Territory Name,Nama Wilayah
Thanks,Terima kasih
The Condition '{0}' is invalid: {1},Kondisi '{0}' tidak valid: {1}
The holiday on {0} is not between From Date and To Date,Liburan di {0} bukan antara Dari Tanggal dan To Date
The rate used to convert the deal’s currency to your crm's base currency (set in CRM Settings). It is set once when the currency is first added and doesn't change automatically.,Kurs yang digunakan untuk mengonversi mata uang kesepakatan ke mata uang dasar CRM Anda (diatur di Pengaturan CRM). Nilai ini ditetapkan sekali saat mata uang pertama kali ditambahkan dan tidak berubah secara otomatis.
The rate used to convert the organization’s currency to your crm's base currency (set in CRM Settings). It is set once when the currency is first added and doesn't change automatically.,Kurs yang digunakan untuk mengonversi mata uang organisasi ke mata uang dasar CRM Anda (diatur di Pengaturan CRM). Nilai ini ditetapkan sekali saat mata uang pertama kali ditambahkan dan tidak berubah secara otomatis.
Theme,Tema
There can only be one default priority in Priorities table,Tabel Prioritas hanya boleh memiliki satu prioritas default
These fields are required: {0},Bidang berikut wajib diisi: {0}
This Month,Bulan Ini
This Quarter,Kuartal Ini
This Week,Minggu Ini
This Year,Tahun Ini
This column contains fields. Are you sure you want to remove it?,Kolom ini berisi bidang. Apakah Anda yakin ingin menghapusnya?
This field is required,Bidang ini wajib diisi
This method is only meant for developer mode,Metode ini hanya ditujukan untuk mode pengembang
This section contains fields. Are you sure you want to remove it?,Bagian ini berisi bidang. Apakah Anda yakin ingin menghapusnya?
This section is not editable,Bagian ini tidak bisa diedit
"This will delete selected items and items linked to it, are you sure?",Tindakan ini akan menghapus item terpilih beserta item lain yang tertaut. Apakah Anda yakin?
"This will delete selected items and unlink linked items to it, are you sure?","Tindakan ini akan menghapus item terpilih dan melepas item lain yang tertaut dengannya, Anda yakin?"
"This will restore (if not exist) all the default statuses, custom fields and layouts. Delete & Restore will delete default layouts and then restore them.","Ini akan memulihkan (jika belum ada) semua status default, bidang kustom, dan layout. Tindakan ""Hapus & Pulihkan"" akan menghapus layout default lalu memulihkannya kembali."
This will restore the demo data. Are you sure you want to continue?,Ini akan memulihkan data demo. Apakah Anda yakin ingin melanjutkan?
Thursday,Kamis
Time Format,Format Waktu
Time before the event when a reminder notification will be sent by default. This will be applied to all events unless a custom notification is set for a specific event.,Waktu sebelum acara ketika pemberitahuan pengingat akan dikirimkan secara default. Ini akan diterapkan ke semua acara kecuali pemberitahuan khusus disetel untuk acara tertentu.
Timespan,Rentang Waktu
Timezone,Zona waktu
Title,Judul
Title Field,Bidang Judul
Title is required,Judul diperlukan
To,Ke
To Date,Tanggal Selesai
To Date cannot be before From Date,Sampai saat ini tidak dapat sebelumnya dari tanggal
To Number,Ke Nomor
To Type,Tipe Baru
To User,Kepada Pengguna
"To know more about setting up email accounts, click","Untuk mengetahui lebih lanjut tentang pengaturan akun email, klik"
Today,Hari Ini
Todo,Akan Dikerjakan
Toggle on for Preview,Aktifkan untuk Pratinjau
Tomorrow,Besok
Too many failed attempts. Please try again after some time.,Terlalu banyak upaya yang gagal. Silakan coba lagi setelah beberapa waktu.
Took a call with John Doe and discussed the new project.,Melakukan panggilan dengan John Doe dan membahas proyek baru.
Total,Total
Total Holidays,Total Hari Libur
Total Leads,Total Prospek
Total after discount,Total setelah diskon
Total leads,Total prospek
Total number of leads,Jumlah total prospek
Total number of non won/lost deals,Jumlah total kesepakatan yang sedang berjalan
Total number of won deals based on its closure date,Jumlah total kesepakatan yang berhasil berdasarkan tanggal penutupannya
Traceback,Jejak Balik
Tuesday,Selasa
Turn into a Group,Berubah menjadi Grup
TwiML SID,TwiML SID
Twilio,Twilio
Twilio API credential creation error.,Kesalahan pembuatan kredensial API Twilio.
Twilio App Name,Nama Aplikasi Twilio
Twilio Apps,Aplikasi Twilio
Twilio Integration Disabled,Integrasi Twilio Dinonaktifkan
Twilio Number,Nomor Twilio
Twilio Settings,Pengaturan Twilio
Twilio configuration is missing,Konfigurasi Twilio tidak ada
Type,Tipe
Type an email address to add attendee,Ketikkan alamat email untuk menambahkan peserta
Type your message here...,Ketik pesan Anda di sini...
Unable to connect to Twilio account to fetch applications.,Tidak dapat terhubung ke akun Twilio untuk mengambil aplikasi.
Unassign Conditions are invalid,Kondisi yang dibatalkan penetapannya tidak valid
Unassignment Condition,Kondisi Pembatalan Penugasan
Unauthorized request,Permintaan yang tidak sah
Uncollapsible,Tidak Dapat Diciutkan
Ungroup Conditions,Kondisi Pisahkan
Unknown,Tidak diketahui
Unlink,Lepas tautan
Unlink & Delete,Putuskan tautan & Hapus
Unlink All,Putuskan Tautan Semua
Unlink Linked Item,Batalkan Tautan Item Tertaut
Unpin View,Lepas Sematan Tampilan
Unsaved Changes,Perubahan Belum Disimpan
Untitled,Tanpa Judul
Update,Pembaruan
Update Account,Perbarui Akun
Update Configuration,Perbarui Konfigurasi
Update the modified timestamp on new email communication & comment for leads & deals,Perbarui stempel waktu yang diubah pada komunikasi email baru & komentar untuk prospek & penawaran
Update the modified timestamp on new email communication & comments for leads & deals,Perbarui stempel waktu yang diubah pada komunikasi email baru & komentar untuk prospek & penawaran
Update timestamp on new communication,Perbarui stempel waktu pada komunikasi baru
Update {0} Records,Perbarui {0} Catatan
Upload,Unggah
Upload Attachment,Unggah Lampiran
Upload Document,Unggah Dokumen
Upload Image,Unggah Gambar
Upload Photo,Unggah Foto
Upload Video,Unggah Video
User,Pengguna
User Configuration,Konfigurasi Pengguna
User Management,Manajemen Pengguna
User Name,Nama Pengguna
User {0} has been removed,Pengguna {0} berhasil dihapus
Users,Pengguna
Users Added Successfully,Pengguna Berhasil Ditambahkan
Users are required,Pengguna diperlukan
Valid From,Berlaku Mulai
Valid conditions are required,Persyaratan yang valid diperlukan
Validity,Validitas
Value,Nilai
Verify Connection,Verifikasi Koneksi
View Contact,Lihat Kontak
View Location,Lihat Lokasi
View Name,Nama Tampilan
Views,Tampilan
Visibility,Visibilitas
Web Form,Formulir web
Webhook Verify Token,Token Verifikasi Webhook
Website,Situs Web
Wednesday,Rabu
Week,Minggu
Weekly,Mingguan
Weekly Off,Libur Mingguan
Welcome Message,Pesan Selamat Datang
"Welcome {0}, lets add your first lead","Selamat Datang {0}, ayo tambahkan prospek pertama Anda"
WhatsApp,WhatsApp
WhatsApp Message,Pesan WhatsApp
WhatsApp Templates,Templat WhatsApp
Where,Di mana
Width,Lebar
"Width can be in number, pixel or rem (eg. 3, 30px, 10rem)","Lebar bisa dalam satuan angka, piksel, atau rem (misalnya 3, 30px, 10rem)"
Won,Berhasil
Won Deals,Memenangkan Penawaran
Won deals,Kesepakatan yang berhasil
Work Schedule & Holidays,Jadwal Kerja & Hari Libur
Workday,Hari Kerja
Working Hours,Jam Kerja
Yes,Ya
Yesterday,Kemarin
You,Anda
You are not allowed to invite Sales Managers,Anda tidak diperbolehkan mengundang Manajer Penjualan
You are not allowed to invite System Managers,Anda tidak diperbolehkan mengundang Manajer Sistem
You are not permitted to access CRM resources.,Anda tidak diizinkan mengakses sumber daya CRM.
You are not permitted to access this resource.,Anda tidak diizinkan mengakses sumber daya ini.
You are not permitted to create leads.,Anda tidak diizinkan membuat prospek.
You are not permitted to update this call log.,Anda tidak diizinkan memperbarui log panggilan ini.
You can also copy-paste following link in your browser,Anda juga dapat menyalin dan menempel tautan berikut di peramban Anda
You can change the default calling medium from the settings,Anda dapat mengubah media panggilan default dari pengaturan
You can get your Access Key from ,Anda bisa mendapatkan Kunci Akses Anda dari
You can invite multiple users by comma separating their email addresses,Anda dapat mengundang banyak pengguna dengan memisahkan alamat email mereka dengan koma
You cannot remove yourself.,Anda tidak dapat menghapus diri Anda sendiri.
You do not have Exotel Number set in your Telephony Agent,Anda belum mengatur Nomor Exotel di Agen Telepon Anda
You do not have enough permissions to access Frappe CRM. Please contact your administrator if you believe this is an error.,Anda tidak memiliki izin yang cukup untuk mengakses GARP CRM. Silakan hubungi administrator Anda jika Anda yakin ini adalah kesalahan.
You do not have mobile number set in your Telephony Agent,Anda belum mengatur nomor ponsel di Agen Telepon Anda
You do not have permission to access Frappe CRM,Anda tidak memiliki izin untuk mengakses GARP CRM
You do not have permission to access this document,Anda tidak memiliki izin untuk mengakses dokumen ini
You don't have permission to delete this attachment,Anda tidak memiliki izin untuk menghapus lampiran ini
You must be logged in to change your password,Anda harus login untuk mengubah kata sandi Anda
You need to be in developer mode to edit a Standard Form Script,Anda harus berada dalam Mode pengembang untuk mengubah Skrip Formulir Standar
"You will be redirected to invite user page, unsaved changes will be lost.","Anda akan diarahkan ke halaman mengundang pengguna, perubahan yang belum disimpan akan hilang."
You will need a Meta developer account and an access token to sync leads from Facebook. Read more,Anda memerlukan akun pengembang Meta dan token akses untuk menyinkronkan prospek dari Facebook. Baca selengkapnya
Your assignment on task {0} has been removed by {1},Tugas Anda pada {0} telah dihapus oleh {1}
Your assignment on {0} {1} has been removed by {2},Penugasan Anda pada {0} {1} telah dihapus oleh {2}
Your login id is,Id login Anda
Your old condition will be overwritten. Are you sure you want to save?,Kondisi lama Anda akan ditimpa. Apakah Anda yakin ingin menyimpannya?
Your old conditions will be overwritten. Are you sure you want to save?,Kondisi lama Anda akan ditimpa. Apakah Anda yakin ingin menyimpannya?
added a,menambahkan
amber,kuning sawo
assigned a new task {0} to you,menetapkan tugas baru {0} kepada Anda
assigned a {0} {1} to you,menetapkan tugas {0} {1} kepada Anda
at,pada
before at,sebelum pukul
black,hitam
blue,biru
changes from,diubah dari
comment,komentar
converted the lead to this deal,mengonversi petunjuk ke kesepakatan ini
created this deal,menciptakan kesepakatan ini
created this lead,menciptakan petunjuk ini
cyan,biru muda
day,hari
day before,sehari sebelumnya
days,hari
days before,hari sebelumnya
deals,kesepakatan
desk,meja
exchangerate-api,nilai tukar-api
exchangerate.host,exchangerate.host
fawazahmed-exchange-api,fawazahmed-exchange-api
field,bidang
fields,bidang
frankfurter.app,frankfurter.app
gray,abu-abu
green,hijau
group_by,kelompokkan_berdasarkan
has made a call,telah melakukan panggilan
has reached out,telah menghubungi
here,di sini
hour,jam
hour before,jam sebelumnya
hours,jam
hours before,jam sebelumnya
in 1 hour,1 jam lagi
in 1 minute,1 menit lagi
in 1 year,1 tahun lagi
in {0} M,{0} Bln lagi
in {0} d,{0} hri lagi
in {0} days,{0} hari lagi
in {0} h,{0} jm lagi
in {0} hours,{0} jam lagi
in {0} m,{0} mnt lagi
in {0} minutes,{0} menit lagi
in {0} months,{0} bulan lagi
in {0} w,{0} mng lagi
in {0} weeks,{0} minggu lagi
in {0} y,{0} thn lagi
in {0} years,{0} tahun lagi
john@doe.com,john@doe.com
just now,baru saja
kanban,kanban
label,label
leads,lead
list,daftar
mentioned you in {0},menyebutkan Anda di {0}
minute,menit
minute before,menit sebelumnya
minutes,menit
minutes before,menit sebelumnya
next,selanjutnya
now,sekarang
old_value,nilai_lama
orange,oranye
pink,merah jambu
previous,sebelumnya
private,privat
public,publik
purple,ungu kemerahan
received a whatsapp message in {0},menerima pesan WhatsApp di {0}
red,merah
teal,biru kehijauan gelap
to,menjadi
tomorrow,besok
value,nilai
violet,ungu kebiruan
week,minggu
week before,minggu sebelumnya
weeks,minggu
weeks before,minggu sebelumnya
"which are not compatible with this UI, you will need to recreate the conditions here if you want to manage and add new conditions from this UI.","yang tidak kompatibel dengan UI ini, Anda perlu membuat ulang ketentuan di sini jika ingin mengelola dan menambahkan ketentuan baru dari UI ini."
yellow,kuning
yesterday,kemarin
{0} M,{0} Bln
{0} assigned a {1} {2} to you,{0} menugaskan {1} {2} kepada Anda
{0} d,{0} h
{0} days ago,{0} hari yang lalu
{0} h,{0} j
{0} hours ago,{0} jam yang lalu
{0} is an invalid email address,{0} bukan alamat email yang valid
{0} is required,{0} wajib diisi
{0} m,{0} mnt
{0} minutes ago,{0} menit yang lalu
{0} months ago,{0} bulan yang lalu
{0} w,{0} mgu
{0} weeks ago,{0} minggu yang lalu
{0} y,{0} thn
{0} years ago,{0} tahun yang lalu
"⚠️ Avoid using ""trigger"" as a field name — it conflicts with the built-in trigger() method.","⚠️ Hindari menggunakan ""trigger"" sebagai nama bidang, karena akan menimbulkan konflik dengan metode bawaan trigger()."
"⚠️ Method ""{0}"" not found in class.","⚠️ Metode ""{0}"" tidak ditemukan pada kelas."
"⚠️ No class found for doctype: {0}, it is mandatory to have a class for the parent doctype. it can be empty, but it should be present.","⚠️ Kelas tidak ditemukan untuk doctype: {0}, wajib ada sebuah kelas untuk doctype induk. Kelas tersebut bisa kosong, namun harus tetap ada."
⚠️ No data found for parent field: {0},⚠️ Data tidak ditemukan untuk bidang induk: {0}
⚠️ No row found for idx: {0} in parent field: {1},Baris tidak ditemukan untuk idx: {0} di dalam bidang induk: {1}
